system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success,continuation_label,stage_description
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,10,0.9385594302258522,0.0442467840959867,0.04834731393124225,0.13188602034729044,0.9999998929561222,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,11,0.7670929036634855,0.04609719969595172,0.050571120097872124,0.1159487019466316,0.9999997988611964,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,12,0.800772660557086,0.042079282664754136,0.04397017071811793,0.11385828502018466,0.9999998361987751,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,13,0.5210049001012788,0.02402228210837143,0.025534061204040892,0.5129517759635257,0.9999999454460391,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,14,0.6874798154182011,0.028205780652755252,0.0300571019663316,0.3333036117538011,0.9999999242390858,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,15,0.913352886140659,0.055139534309706306,0.061032155136744204,0.08418080625253001,0.9999998222340329,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,16,0.8630785865184628,0.05074503166952993,0.054371142348127566,0.06875192418405715,0.9999998165240375,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,17,0.9448073163456742,0.038801589996633856,0.04326864571648059,0.10539409921830582,0.9999998880700692,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,18,0.9156054761200509,0.054184327052104186,0.054898103801933607,0.1238107882733133,0.999999878101818,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,19,0.8161722518844072,0.03415074786434669,0.03871145318278024,0.09541641335476549,0.9999998735629022,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,20,0.900821467528843,0.054709962256766054,0.05721063776738666,0.07019797745662576,0.999999880693482,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,21,0.9192366710578953,0.03808217868107455,0.04383324822677126,0.04747327468145988,0.9999998715798559,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,22,0.9119854332044961,0.0408344654938243,0.045158166501615304,0.05199998696156542,0.999999861573619,0.0013843749999999998,120,66.47974716918543,,,,path seed,
five_level_weak_anharmonic,continuation_path_seed,0.03,static_only,0.0,0.0,23,0.9064179633873213,0.045410076329983284,0.04791916280425257,0.08072717360135527,0.9999998762196693,0.0013843749999999998,120,66.47974716918543,,,,path seed,
