system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,task,config,horizon_steps,beam_width,segments,n_train_strengths,n_train_seeds
horizon_lyapunov_Z,0.08,23,0.002759970824241123,0.0024914907337361125,0.9955878071072602,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,24,0.04726023543373534,0.026485610232252044,0.9403118895799798,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,25,0.08725866245199487,0.02658948800769012,0.9046818052149754,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,26,0.011759187802670263,0.012793129422629224,0.9807589895709182,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,27,0.03913433738097288,0.015194967662677361,0.968631207383237,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,28,0.032822053705654025,0.02838237991450776,0.979054324259006,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,29,0.058443343483032026,0.03652759083718837,0.9568870092574099,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,30,0.025624353151281087,0.02195150001385604,0.9624312972677748,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,31,0.04005798222891503,0.02720414223426071,0.9493572561907777,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,32,0.002132592061404904,0.0015193685691813341,0.9973704725436942,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,33,0.04582872363989543,0.017289146778080133,0.9422346211949635,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,34,0.0665846990652082,0.030139973345147952,0.9137305210505713,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,35,0.022927223544197253,0.02170811693180341,0.9690579262877589,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,36,0.04069247551843723,0.03290487739422976,0.975841248595942,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,37,0.08389158645705476,0.02474030398957472,0.9146825693814886,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,38,0.010977486895969118,0.009802093475172913,0.9923961807975925,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,39,0.02475416676357344,0.008074024806883018,0.9794187723592681,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,40,0.0684820006025085,0.03991409946988178,0.955212258653249,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,41,0.014852101993482393,0.01749179672394363,0.9915122173416,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,42,0.03375448636351236,0.02040478894031117,0.9513816948479789,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,43,0.05381209492891155,0.02222230555824012,0.9306353359119872,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,44,0.013249162973547137,0.010854221149923848,0.9903784781783157,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,45,0.012110515820673583,0.0038228370932366085,0.9870416174162677,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,46,0.015528364599783642,0.010249133159013768,0.9812731970328903,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,47,0.14753930587960884,0.028826823430221804,0.8650378222196868,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,48,0.0013577072480054405,0.0005509892314350395,0.9984268036100121,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,49,0.004086200696760557,0.0039735928369344364,0.998174159984736,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,50,0.053473629478209515,0.014849667587236937,0.9367234012206285,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,51,0.014582401251961672,0.007645457741224826,0.9889373125671876,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,52,0.019250860046470235,0.02080821099907948,0.9880011314831906,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,53,0.04892321957565248,0.02718381353472854,0.9320980802023678,1.655,Z,q6_b1,6,1,100,2,8
